city,pollutant,n_points,slope,slope_ci_lower,slope_ci_upper,intercept,r_squared,p_value,std_err,trend_class,years,values
Delhi,AER,5,0.25974448524350974,-0.1391567994213156,0.6524128243818739,-525.3782760556661,0.6255924196183515,0.11107520321179144,0.11601450354906341,Stable,[2020. 2021. 2022. 2023. 2024.],[-0.97431876 -0.3985564   0.33050689  0.08521669  0.08251712]
Delhi,CH4,5,9.254229973624934,5.5558755928662995,14.5205317872244,-16786.097564539446,0.8967551711221994,0.014541591426736653,1.812912610829431,Worsening (significant),[2020. 2021. 2022. 2023. 2024.],[1910.51804179 1917.36092455 1921.62979298 1929.59759477 1950.67085655]
Delhi,NO2,5,3.0972407656043827e-06,-3.9358496777852675e-06,1.0904517562934999e-05,-0.006163663185196987,0.18569800835258982,0.4688156123180488,3.7445830315771226e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[8.00689780e-05 1.10241939e-04 1.01878013e-04 1.03846265e-04
 9.87530188e-05]"
Delhi,SO2,5,1.6197597094855623e-06,-6.327173847897025e-06,7.475714470755884e-06,-0.0030972631913009896,0.11695993194258943,0.5732033435283402,2.569576881372155e-06,Stable,[2020. 2021. 2022. 2023. 2024.],[0.00017489 0.00016857 0.00018915 0.00017915 0.0001777 ]
Hyderabad,AER,5,0.24850365411601794,-0.10809007353352121,0.5856914096383333,-503.16015720451475,0.6613632913788243,0.09412273381465648,0.10266422333737502,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.35880285 -1.02584195 -0.24358237 -0.34282035 -0.45779538]
Hyderabad,CH4,5,9.11152062967517,7.045691034092215,10.97221284731752,-16494.549861048945,0.9867069906029141,0.0006530774715862557,0.6105873307875567,Worsening (significant),[2020. 2021. 2022. 2023. 2024.],[1910.06379261 1918.75452936 1931.50122362 1938.81210951 1945.59260568]
Hyderabad,NO2,5,1.7947828748641276e-06,-1.3242509666370194e-06,5.159746762910896e-06,-0.0035797969681487865,0.49957020669635305,0.1819638463629173,1.0371094785324579e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[4.25070062e-05 4.92018799e-05 5.23843079e-05 5.21899393e-05
 4.99868909e-05]"
Hyderabad,SO2,5,6.9580334039392785e-06,-1.4373780532985223e-05,2.5060919583116984e-05,-0.013968988399408022,0.258335186782049,0.3819120209338422,6.80672081330675e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[7.05617003e-05 9.53813604e-05 1.20683539e-04 1.22213138e-04
 9.19359784e-05]"
Kolkata,AER,5,0.2404324600245869,-0.1198653803176978,0.5796208377996134,-486.7592186870632,0.6359110593525448,0.10604903743210513,0.10503596438864858,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.30436746 -0.87743779 -0.14512578 -0.31213502 -0.38485654]
Kolkata,CH4,5,7.800454551097414,1.0496390447998465,15.760116056761158,-13841.993407656983,0.6778843049708655,0.0867349554024405,3.104469783808199,Stable,[2020. 2021. 2022. 2023. 2024.],[1904.65825132 1935.74873673 1931.76258541 1937.84801482 1942.61088503]
Kolkata,NO2,5,1.7683975127136144e-06,-2.31680219630357e-06,7.602565299540847e-06,-0.003506266295580365,0.17992828290018112,0.4765817941885875,2.1796936920409346e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[5.88129950e-05 7.44311990e-05 7.17279431e-05 7.46493131e-05
 6.75459255e-05]"
Kolkata,SO2,5,1.7633959648775303e-05,2.698345541869126e-06,2.6984115701828162e-05,-0.03542677700612111,0.6499774745442823,0.09937556040413416,7.471160378910675e-06,Stable,[2020. 2021. 2022. 2023. 2024.],[0.00017438 0.00024341 0.00021624 0.00025433 0.00025709]
Mumbai,AER,5,0.27008348928072073,-0.0975389814231688,0.6002581732163608,-546.6594774983794,0.6827791966102583,0.0845988964966022,0.10628649818125495,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.29483448 -0.88217851 -0.09431813 -0.19294692 -0.28903283]
Mumbai,CH4,5,4.86278667239235,-6.693104160758365,10.971754539039976,-7914.585867306964,0.3803168589587598,0.26788326371227006,3.5837412212011377,Stable,[2020. 2021. 2022. 2023. 2024.],[1901.80329616 1928.72094973 1909.36572616 1918.95248981 1931.00145949]
Mumbai,NO2,5,2.5961810347589316e-06,-2.9414294477626224e-06,7.183305478171413e-06,-0.005166619595551013,0.42786967274295595,0.23110009937905965,1.733269432058941e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[7.31809231e-05 8.20602883e-05 8.70629456e-05 8.95923083e-05
 8.23958183e-05]"
Mumbai,SO2,5,4.204453527892794e-06,-5.651705206189812e-06,1.4862337514502972e-05,-0.00834727847332938,0.39442935717629024,0.25658425026389325,3.0077845198656335e-06,Stable,[2020. 2021. 2022. 2023. 2024.],[0.00014057 0.00014783 0.00016861 0.00015624 0.00015739]
Pune,AER,5,0.26343675841686043,-0.09134229503224392,0.6030593609397671,-533.3199326327605,0.6906388227114563,0.08121925123434867,0.10179422927403012,Stable,[2020. 2021. 2022. 2023. 2024.],[-1.35141333 -1.00613124 -0.20366697 -0.31105774 -0.38176628]
Pune,CH4,5,9.668098543719248,5.6036396031339555,14.541972196250693,-17634.689295444,0.9410738623999186,0.006181711304045428,1.3967625206993257,Worsening (significant),[2020. 2021. 2022. 2023. 2024.],[1891.16371493 1906.03247439 1920.15429153 1922.3177482  1931.36157074]
Pune,NO2,5,2.169440333152106e-06,8.082236322437953e-07,4.369478575726813e-06,-0.004338205375557044,0.7732707987229018,0.04938116200976939,6.782268935184652e-07,Changing (weak signal),[2020. 2021. 2022. 2023. 2024.],"[4.17281097e-05 4.85506796e-05 4.97575882e-05 5.02557235e-05
 5.17227894e-05]"
Pune,SO2,5,9.989970987748718e-07,-1.668982302526826e-05,1.3610387161685647e-05,-0.0019307828705435333,0.007467796544808205,0.8901083041065229,6.649357209461007e-06,Stable,[2020. 2021. 2022. 2023. 2024.],"[7.49340348e-05 9.31437325e-05 9.37057429e-05 1.15323838e-04
 6.88389675e-05]"
