City,Year,Pollutant,Value,Valid,Is_Outlier
Ahmedabad,2020,SO2,0.00013924830384317953,True,False
Ahmedabad,2021,SO2,0.00019367288218933806,True,False
Ahmedabad,2022,SO2,0.00016441597997204308,True,False
Ahmedabad,2023,SO2,0.00019099145938283486,True,False
Ahmedabad,2024,SO2,0.00017681699338067025,True,False
Pune,2020,SO2,7.493403484065128e-05,True,False
Pune,2021,SO2,9.314373253134481e-05,True,False
Pune,2022,SO2,9.370574286785421e-05,True,False
Pune,2023,SO2,0.00011532383811247617,True,False
Pune,2024,SO2,6.883896754395996e-05,True,False
